condition_timepoint	cold_1	cold_2	cold_3	cold_4	cold_5	cold_6	cold_7	cold_8	cold_9	cold_10	cold_11	cold_12	heat_1	heat_2	heat_3	heat_4	heat_5	heat_6	heat_7	heat_8	heat_9	heat_10	heat_11	oxidative_2	oxidative_3	oxidative_4	oxidative_5	oxidative_6	oxidative_7	oxidative_8	oxidative_9	oxidative_10	oxidative_11	oxidative_12	lactose_1	lactose_2	lactose_3	lactose_4	lactose_5	lactose_6	lactose_7	lactose_8	lactose_9	lactose_10	lactose_11	lactose_12	control_1	control_2	control_3	control_4	control_5	control_6	control_7	control_8	control_9	control_10	control_11	control_12
the name of the metabolite measured	cold stress experiment time point 1	cold stress experiment time point 2	cold stress experiment time point 3	cold stress experiment time point 4	cold stress experiment time point 5	cold stress experiment time point 6	cold stress experiment time point 7	cold stress experiment time point 8	cold stress experiment time point 9	cold stress experiment time point 10	cold stress experiment time point 11	cold stress experiment time point 12	heat stress experiment time point 1	heat stress experiment time point 2	heat stress experiment time point 3	heat stress experiment time point 4	heat stress experiment time point 5	heat stress experiment time point 6	heat stress experiment time point 7	heat stress experiment time point 8	heat stress experiment time point 9	heat stress experiment time point 10	heat stress experiment time point 11	oxidative stress experiment time point 2	oxidative stress experiment time point 3	oxidative stress experiment time point 4	oxidative stress experiment time point 5	oxidative stress experiment time point 6	oxidative stress experiment time point 7	oxidative stress experiment time point 8	oxidative stress experiment time point 9	oxidative stress experiment time point 10	oxidative stress experiment time point 11	oxidative stress experiment time point 12	lactose shift experiment time point 1	lactose shift experiment time point 2	lactose shift experiment time point 3	lactose shift experiment time point 4	lactose shift experiment time point 5	lactose shift experiment time point 6	lactose shift experiment time point 7	lactose shift experiment time point 8	lactose shift experiment time point 9	lactose shift experiment time point 10	lactose shift experiment time point 11	lactose shift experiment time point 12	control experiment time point 1	control experiment time point 2	control experiment time point 3	control experiment time point 4	control experiment time point 5	control experiment time point 6	control experiment time point 7	control experiment time point 8	control experiment time point 9	control experiment time point 10	control experiment time point 11	control experiment time point 12
cytosine	0.04108493	-0.042289326	-0.067710636	0.426205465	-0.172501543	-0.492754697	0.935205484	0.225472311	0.742377243	0.413045952	0.207505313	0.578310672	0.084278759	-0.089509252	0.074273873	0.470067278	0.384138061	0.062909409	0.260839615	0.6403577	0.284809918	0.122146545	0.805761479	0.179722243	-0.20534009	-0.29234801	-0.342826055	-0.238839185	-0.841775176	-0.137853702	1.627142023	0.294662051	-0.172944338	-0.686232023	0	0.01439061	0.248268493	0.371365145	0.249833045	0.054025977	1.18487009	1.03125625	0.74028431	1.196174688	1.563089902	1.107333365	-0.236718028	0.203296697	-0.18397947	0.631108448	0.419096154	-0.148555693	0.283576958	1.035415385	0.427362609	0.551175586	1.207761661	0.618699914
D-erythrose-4-phosphate	-0.248092367	0.211623987	0.208357009	-0.416141878	-0.524273746	-0.444738993	-0.614708604	-1.507118707	-1.479202564	-0.674069388	-0.916306052	-1.016984762	-0.105153536	0.165554667	-0.954310403	-1.629637174	-2.03771517	-1.761511159	-1.937814601	-2.287618368	-1.025922054	-0.735635137	-0.608419869	-0.154053135	0.139178666	0.195089747	-0.768529527	-0.516671028	-0.656905637	1.149968241	1.256179405	-0.205790569	0.943391356	1.298243956	0	1.180173502	0.115772746	0.258701093	-0.09044545	0.505605909	1.105039402	2.43967031	4.154552979	1.954510832	2.248511858	1.362039108	-0.304488389	0.251289703	0.501065727	0.399692963	0.726607861	0.572307212	0.945405048	1.577032523	2.172137407	-0.126873811	0.412187663	-1.277203778
dihydroorotic acid	-0.251095419	0.213803675	0.693495441	0.285344937	0.3859334	0.400809626	0.382738578	0.324803986	0.126336912	0.244469517	0.33873899	0.345430885	-0.075248197	0.071517194	-0.396554338	-0.16251761	-0.2873905	-0.415001931	-0.353542505	-0.075880841	-0.231272114	-0.126902611	-0.054386328	-0.416832676	0.32300413	-0.277369149	-0.275634073	-0.511178401	-0.225068659	-0.155534254	0.726323897	0.928237015	0.74577982	0.995595264	0	1.351388565	1.487510938	1.40440251	1.044983092	1.35055269	1.516113373	2.661907142	3.747922853	3.716504164	3.619893063	4.172141875	-0.239205134	0.205127269	0.461566216	0.797206073	0.931607043	1.107648451	1.319328729	2.272638783	2.072974467	2.393049225	2.770962361	2.270389735
dodecanoic acid	-0.066998076	0.064024307	0.359903712	0.453870821	0.258634648	0.164244118	0.391726476	0.094785084	0.635703521	0.594677786	1.021650709	1.05782214	0.141949145	-0.157455301	0.022242385	0.471767854	0.214681139	0.236595496	0.383284466	0.738993669	1.028518153	1.695535096	1.19615401	-0.110909144	0.102988167	0.578308926	0.499898274	0.428717132	0.741366754	1.145354552	0.776624576	1.205793326	1.599860513	2.288834942	0	0.844243744	0.164015448	0.970954291	0.335144763	0.641550681	0.8989457	1.034639884	1.35169589	1.981934271	1.421584014	0.573854606	0.136972866	-0.151354777	0.046638884	-0.041278337	0.026003507	0.114246869	0.281331149	1.000512949	1.71030748	2.322707341	2.341157101	2.339879318
ethanolamine	0.009357967	-0.009419063	-0.237563194	-0.107583681	-0.207704157	-0.300377276	-0.084170236	0.049049019	0.014086212	-0.007469442	0.114330589	0.019978645	-0.277398626	0.232565716	0.245547505	0.474609919	0.608364869	0.574117383	0.855239317	1.498725934	1.960334314	1.927184711	2.177642519	0.000777836	-0.000778255	0.183128682	0.263373961	0.260394652	0.585526853	1.051590115	1.735690559	2.434324127	2.516392241	2.79823294	0	1.06961268	1.174154203	1.137182292	1.141083866	1.200872327	0.995690354	1.63551838	2.175312525	2.66387143	2.522151788	2.778301499	-0.103552882	0.096615309	0.178614446	0.310497557	0.232210567	0.270357886	0.339552233	1.293238421	2.121378169	2.381468838	2.35976536	2.411364087
fumaric acid	0.059241008	-0.06177816	-0.200861877	-0.362240519	-0.284350288	-0.346457624	-0.399610272	-0.486173974	-0.409970069	-0.266323309	-0.125724782	-0.169010563	-0.228320804	0.197075432	0.122003663	0.647576999	0.766767261	1.028708683	1.269456852	1.802091039	2.340779227	2.686719851	2.999492327	-0.084042235	0.079414798	-0.181179705	0.299461469	0.0303339	-0.086893621	0.73374755	1.476345971	1.38204725	1.273489894	1.142814561	0	0.433073452	0.607929461	0.20482486	0.396899181	0.638119142	0.523726924	1.228775355	2.130489506	1.234823249	1.00103556	-0.158854172	-0.158722792	0.142978274	0.429390285	0.459296665	0.615420652	0.669670966	0.812933489	1.360529029	1.892078936	1.868042313	1.971210666	1.756290422
galactonic acid (gamma lactone)	0.093959224	-0.10050751	-0.227545308	-0.357905463	-0.352407578	-0.248828034	-0.148665947	-0.098282116	-0.099646947	0.038215452	-0.071911751	-0.079818012	-0.125279989	0.115264889	0.106676717	0.135443022	-0.003722442	-0.374338378	-0.184967794	-0.088317443	-0.324505632	-0.350996038	-0.172422752	-0.076702182	0.072829282	-0.082217754	0.027228768	0.053995499	-0.216076624	-0.235881264	-1.239874779	-1.650234529	-2.19134497	-2.471028051	0	0.000132956	-0.428555515	-0.998982272	-0.611452122	-0.061675181	0.288693571	1.44348254	1.897883158	1.5971826	1.158724802	1.19528898	-0.094563264	0.088744443	0.231141019	0.090844788	-0.161261023	-0.242644115	-0.382089952	-0.432607463	-0.718776711	-1.486271607	-1.376205655	-1.491094742
gluconic acid 	0.059530967	-0.062093557	-0.112481029	-0.242487957	-0.357413346	-0.424976386	-0.334441558	-0.346032885	-0.504781691	-0.205926443	-0.472695026	-0.337107442	-0.208940056	0.182472841	-0.241956115	-0.34421931	-0.507720844	-0.871097126	-0.384577747	-0.549540559	-0.711786791	-0.992218424	-1.042849043	0.070102727	-0.073683878	-0.232000852	-0.457144637	-0.096856692	-0.095596671	-0.436112143	-0.994008576	-2.90728965	-4.496042097	-4.407681106	0	0.091604284	0.363836608	-0.17898145	-0.085760618	-0.220622113	-0.516911637	0.772814002	1.294373884	0.565873045	-0.216988872	-0.407379893	-0.149824993	0.135718992	0.336235903	0.180153487	-0.130807171	-0.442265181	-0.660281168	-0.684166451	-1.538550335	-2.987425114	-3.707294003	-4.111446637
glucose 6-phosphate	-0.014311383	0.014170809	0.506108245	-0.286780501	-0.404002203	0.210784637	-0.049417253	0.078055464	0.203492889	0.21285854	0.020809323	0.438058187	-0.293095415	0.243487433	-1.435816574	-1.599887829	-0.747590365	-1.585346749	-1.520170143	-1.82808413	-1.506695093	-1.016841115	-1.27202506	-0.028985609	0.028414702	-2.150669032	-1.791296654	-1.533009998	-0.676649288	0.803289536	1.221893085	1.861883904	0.961506718	1.568142563	0	0.650315489	0.799054624	-0.398827413	0.079995194	0.813855756	1.524251356	2.879442329	3.689474784	3.631050435	1.985662498	2.026533458	-0.260045551	0.220253728	0.638982762	0.931695223	0.878329953	0.82310849	0.979621217	1.924531308	2.703346217	1.164434312	1.300556353	0.290716728
glutamic acid	-0.096395209	0.090355879	0.585982984	0.774392288	0.869026775	0.996863314	1.201164675	1.228704144	1.490345728	1.421592616	1.545599901	1.437440727	-0.190439865	0.168207502	1.264408532	1.278343303	1.456867811	1.405107151	1.508100231	1.634365406	1.71265692	1.895815328	1.687711916	-0.154620442	0.139641465	-3.174115792	0.834141126	0.795202367	0.840132833	0.849404402	0.731009661	0.731849311	0.950079543	0.798574584	0	0.410597477	0.702537106	0.772513819	0.612151301	0.809866705	0.995048059	1.539263488	1.595709653	1.168007734	-2.31258475	-2.101795332	-0.284023027	0.237199521	0.471068312	0.642564414	0.757486252	0.91098278	0.918261449	1.767304214	1.644370064	1.564838792	1.848082059	1.709271049
