condition_timepoint	cold_1	cold_2	cold_3	cold_4	cold_5	cold_6	cold_7	cold_8	cold_9	cold_10	cold_11	cold_12	heat_1	heat_2	heat_3	heat_4	heat_5	heat_6	heat_7	heat_8	heat_9	heat_10	heat_11	oxidative_2	oxidative_3	oxidative_4	oxidative_5	oxidative_6	oxidative_7	oxidative_8	oxidative_9	oxidative_10	oxidative_11	oxidative_12	lactose_1	lactose_2	lactose_3	lactose_4	lactose_5	lactose_6	lactose_7	lactose_8	lactose_9	lactose_10	lactose_11	lactose_12	control_1	control_2	control_3	control_4	control_5	control_6	control_7	control_8	control_9	control_10	control_11	control_12
the name of the metabolite measured	cold stress experiment time point 1	cold stress experiment time point 2	cold stress experiment time point 3	cold stress experiment time point 4	cold stress experiment time point 5	cold stress experiment time point 6	cold stress experiment time point 7	cold stress experiment time point 8	cold stress experiment time point 9	cold stress experiment time point 10	cold stress experiment time point 11	cold stress experiment time point 12	heat stress experiment time point 1	heat stress experiment time point 2	heat stress experiment time point 3	heat stress experiment time point 4	heat stress experiment time point 5	heat stress experiment time point 6	heat stress experiment time point 7	heat stress experiment time point 8	heat stress experiment time point 9	heat stress experiment time point 10	heat stress experiment time point 11	oxidative stress experiment time point 2	oxidative stress experiment time point 3	oxidative stress experiment time point 4	oxidative stress experiment time point 5	oxidative stress experiment time point 6	oxidative stress experiment time point 7	oxidative stress experiment time point 8	oxidative stress experiment time point 9	oxidative stress experiment time point 10	oxidative stress experiment time point 11	oxidative stress experiment time point 12	lactose shift experiment time point 1	lactose shift experiment time point 2	lactose shift experiment time point 3	lactose shift experiment time point 4	lactose shift experiment time point 5	lactose shift experiment time point 6	lactose shift experiment time point 7	lactose shift experiment time point 8	lactose shift experiment time point 9	lactose shift experiment time point 10	lactose shift experiment time point 11	lactose shift experiment time point 12	control experiment time point 1	control experiment time point 2	control experiment time point 3	control experiment time point 4	control experiment time point 5	control experiment time point 6	control experiment time point 7	control experiment time point 8	control experiment time point 9	control experiment time point 10	control experiment time point 11	control experiment time point 12
phosphate	0.007342418	-0.007379977	0.14071907	-0.019549012	0.003974798	-0.055477013	-0.07263556	-0.065499918	-0.077170097	0.034321951	0.008736916	0.029205283	-0.001894915	0.00189243	-0.01711064	-0.034362305	-0.005727007	0.028836148	0.018037299	-0.062696958	-0.052106149	0.074559249	-0.061110808	0.0315912	-0.03229848	-0.02207226	-0.005713353	-0.001606181	-0.028182534	-0.004804376	-0.083548845	-0.075582661	-0.0211088	-0.086679538	0	0.131226277	0.15754458	0.130922385	0.17045686	0.127762217	0.124253612	0.09373219	0.163693631	0.049642734	0.061784155	0.201199589	-0.025646761	0.025198791	0.016342613	0.071908951	-0.049304981	-0.054779628	0.012433393	0.090201132	0.04203714	0.074044218	-0.023541448	-0.076233236
phosphoric acid	0.00157874	-0.001580469	0.131322892	-0.05564682	-0.053541832	-0.130374313	-0.080997399	-0.119198918	-0.090693249	0.00065595	-0.000757334	-0.035004424	-0.002513762	0.00250939	-0.010421107	-0.060803864	-0.016144473	-0.019183793	0.020926565	-0.09486543	-0.100995004	0.018899228	-0.063574357	4.84E-05	-4.84E-05	0.013440609	-0.008441337	-0.043655579	-0.060851967	0.006202362	0.014372717	-0.049388816	-0.032989649	-0.082460589	0	0.153283846	0.263540658	0.195530958	0.156360882	0.187855994	0.077238482	0.132212993	0.196722607	0.070976569	0.059366823	0.278268809	-0.027117902	0.026617565	0.049143831	0.050587036	-0.057870452	-0.068337161	-0.001979723	0.085268175	0.030843113	0.039823925	-0.050749706	-0.096205612
lactitol 	-0.207153436	0.181109266	-0.155703881	-0.401934523	-0.474019111	-0.091042629	-0.43506421	-0.424287452	-0.26509857	-1.477469501	-0.569100804	-0.800455223	-0.270462592	0.227674949	-0.068316789	-0.139284441	-0.212129384	-0.565464445	-0.336599926	0.146670149	-0.222715855	-0.157105975	-0.125906663	0.051057303	-0.052930736	-0.256725894	-0.381657758	0.084743311	-0.285172386	-0.15859257	-3.523679354	-4.852995675	-5.613039599	-5.299579828	0	0.236651385	0.082020036	0.229313492	0.305086963	0.263078608	0.1795275	0.106644712	-0.584949144	-2.926069893	-4.848352874	-5.006365574	0.107430826	-0.116079009	-0.006127046	-0.314063362	0.186519846	-0.581593994	-1.24018245	-2.047676454	-2.727277958	-2.646965254	-1.8767236	-2.01056871
uracil 	0.084462345	-0.089716369	-0.155108743	-0.347280517	-0.334944173	-0.62166118	-0.306696194	-0.473616178	-0.337465148	-0.290159246	-0.17527154	-0.217302757	-0.029099154	0.02852381	0.012016578	0.222525299	0.469700338	0.846921832	1.217490389	1.605909129	2.794105022	2.927001658	3.152289059	0.11161605	-0.120980968	0.941491171	0.202598878	-0.052432721	-0.279036994	-0.363472828	-0.21402024	2.068536982	2.332048359	2.153122976	0	0.173173761	0.716609446	0.609662312	0.438667354	0.201320117	0.116290999	0.502240153	0.109642059	1.323539069	2.041248108	2.646933559	0.071684412	-0.075433344	0.319544661	-0.167042943	-0.180366594	-0.837244048	-0.424810337	0.221981476	0.748555215	0.456174661	0.137782275	0.044774399
proline	-0.021464399	0.021149728	-0.305769227	-0.306117123	-0.293878267	-0.141252496	0.131495832	0.038263847	0.701598524	0.841709233	0.603744893	0.638689588	-0.228096577	0.196908443	1.662765773	2.084225785	2.413357133	2.480407399	2.67215554	3.437803944	3.612977049	3.834363622	3.97159439	-0.031707992	0.031026065	-0.813606672	1.129815848	0.883356138	0.8782753	1.318966609	2.091377377	1.371274506	1.808769427	1.984866842	0	0.805057245	-0.045540578	0.132728269	0.34990468	0.852711357	1.240284982	2.532835722	3.347523945	3.718274264	2.545517119	3.036099711	-0.236541584	0.203166621	0.383439918	0.622278694	0.520247874	0.643680986	0.892519636	1.771067284	2.454019442	2.53969198	2.704670614	2.612017331
psicose	0.199989503	-0.232243513	-0.246155201	-0.595318442	-0.899946307	-0.605453181	-0.354165874	-0.325257812	-0.409375986	-0.752467685	-0.804807067	-0.349762487	-0.157957854	0.142357385	0.186380543	0.18409993	-0.190722719	-0.945068551	-0.25749624	0.126584349	0.006856955	-0.093038647	0.143045487	-0.040010765	0.03893101	0.279904657	-0.404644436	-0.040697185	-0.487050129	0.11659521	-0.003454692	0.333498549	0.359561933	-0.135832271	0	0.927547109	0.624504169	0.766973773	-0.621812991	0.124241403	-0.511802544	1.294471974	0.489435925	1.927267148	1.207664103	0.937762518	-0.07427679	0.070639185	0.111930366	-0.036774664	-0.340602591	-0.313508116	-0.199124996	-0.108110842	0.306830532	0.423353023	0.352245347	0.000580872
putrescine	0.019400594	-0.019665043	-0.19526243	-0.177265891	-0.19252187	-0.183458158	-0.042186503	-0.248761131	-0.264307129	-0.26680175	-0.406085277	-0.272319369	-0.113633741	0.105333204	-0.035721353	0.084361027	-0.043600375	-0.101366419	-0.145305732	-0.063691153	-0.112053472	-0.054103706	0.029180604	-0.023812533	0.023425866	0.116841761	0.160932396	0.245426852	0.164888051	0.338105586	0.236160153	0.53715479	0.49889874	0.453380764	0	0.39613287	0.541616394	0.443743412	0.536149048	0.564551315	0.523725863	0.634252928	0.695582383	0.803183915	0.716662788	0.810152503	-0.181402366	0.161119693	0.230864888	0.345591575	0.239098254	0.194059489	0.332457289	0.804834487	0.710648578	0.61227312	0.416117937	0.405529333
pyridine 3-hydroxy 	-0.091162519	0.085742816	0.289291494	0.112340484	-0.026881512	-0.26063399	0.076747239	0.092583179	0.038245927	0.167380832	0.286047485	0.196009749	0.097239543	-0.104270356	0.005683415	0.185584347	-0.132607968	0.096455478	0.119639021	-0.075151413	-0.241810464	0.131767991	-0.144381817	-0.106300332	0.099002573	-0.04597349	-0.090235218	-0.837112698	0.485997119	-0.365935447	-0.069236122	-0.282443587	-0.795372043	0.390830934	0	0.41907269	0.285053523	0.143933737	0.431039924	0.585355878	0.798272337	0.752681691	0.435922931	0.424176564	1.647622627	1.112886343	0.161180587	-0.181479581	-0.123412639	-0.102874902	-0.531577675	-0.379940613	-0.065344544	0.226762057	-0.006374396	0.282282739	0.044144743	-0.005273482
pyroglutamic acid (oxoproline)	0.023672898	-0.024067831	0.299701875	0.295764751	0.100566665	0.298398274	0.617923688	0.964805002	1.109693691	1.298403994	1.54732797	1.536725382	-0.211281147	0.1842551	0.694920159	1.026341017	1.028655979	0.92487024	0.94302815	1.639011969	1.47719415	1.407847522	1.741386893	0.104380391	-0.112525554	-1.934647464	1.016544831	0.915975016	1.307402285	1.143001081	1.196857331	1.265533453	1.318511898	1.277241271	0	0.822767832	0.491282061	0.649446394	0.706275219	1.024452634	1.099799888	1.789607234	2.093205944	2.015159556	0.81668914	1.041451024	-0.226227691	0.195514854	0.517797248	0.523369963	0.548240649	0.5248293	0.860310361	1.456479846	1.385399356	1.612949083	1.477519711	1.559702758
pyrophosphate 	0.3359815	-0.438768401	-1.527360133	-1.279382743	-0.970450445	-1.28299132	-1.328549044	-1.840416325	-1.752509451	-1.143824655	-0.981778855	-1.110725304	-0.219024511	0.190113976	1.027296032	0.111320974	0.242381178	-0.693410403	-0.186590961	1.115448181	-0.676642132	-0.153617588	1.83590686	0.229079718	-0.272449005	0.280365322	0.239612319	-0.175976772	-2.023372977	-0.263252752	0.870501565	-0.280396452	0.512322679	-2.24985624	0	-2.102889087	-1.332760612	-2.783706495	-2.721990104	-2.267630253	-2.28518276	-0.686342561	-1.162273795	-2.132603862	-1.430112816	-0.872216698	-0.103806453	0.096835994	1.435698916	0.755510961	1.18386156	0.582076718	0.266162237	1.115342446	0.364326613	1.483276082	0.834670469	0.619493804
pyruvic acid	-0.089562218	0.084325712	0.10071745	-0.1817245	0.003488814	-0.185712505	-0.17474769	-0.225792729	-0.158657695	0.053032918	0.104960332	0.052502345	-0.303542419	0.250645814	-1.058336595	-0.92689283	-1.157482393	-1.221871379	-0.973389311	-0.664319422	0.912817691	1.630723255	1.874804173	-0.096775687	0.090690077	-0.594914831	0.593890153	1.380526047	1.47507969	1.07890436	2.138088776	1.749143155	1.419234141	1.136723274	0	0.275631286	-0.73840892	0.060075407	-0.084090849	0.280471784	0.812788606	2.77723346	2.279764592	0.911987328	0.049036827	0.045070191	-0.216558362	0.188253999	0.285160405	0.499321721	0.45911592	0.760642366	0.859120898	1.744263764	2.676496749	1.092976255	0.867866539	0.620016193
ribitol	0.067824484	-0.071171048	0.182946772	-0.028771881	0.048835329	0.04428211	0.100449709	-0.044558805	0.02446819	0.016301418	-0.08607071	-0.171278703	0.065227693	-0.06831702	-0.090908155	0.056108434	-0.483393314	-0.438688961	-0.028815887	0.686914208	0.779555931	-0.457991422	0.291664024	-0.016378631	0.016194773	-0.093934602	-0.27652208	0.020722404	-0.35791139	0.08566333	-0.886744322	-3.212524927	-4.055354438	-4.259986012	0	-0.62437451	-0.9827722	-1.430178596	-2.355185843	-1.579563153	-1.566277645	-1.609394879	-1.801886884	-0.551573785	-0.41490757	-0.211523337	-0.225081669	0.194658729	-0.075590194	-0.327368688	0.249755743	-0.01129082	-0.284806204	-0.435620688	-1.996872795	-3.331169251	-2.809457389	-3.537125151
ribose 5-phosphate	-0.153372733	0.138623171	-0.067216454	-0.449515457	-0.369588225	-0.464221962	-0.383332299	-1.097734546	-1.057395894	-0.717378538	-1.045021566	-1.277123396	-0.24644122	0.210422202	-1.123081863	-0.793903301	-0.826470296	-1.24240785	-0.886597516	-1.15196334	-0.595885238	-0.353973875	-0.920657637	-0.148193252	0.13437888	0.280289492	-0.88907719	-0.883343902	0.09983218	0.681493911	1.34277131	0.598467942	0.305018578	0.67090855	0	0.60237924	0.198860759	-0.261031992	-0.562426838	0.14401707	1.091309019	2.526008805	3.1918123	2.385157202	1.551376693	1.792776425	-0.074597214	0.070928925	0.389034863	0.685517968	0.612743732	0.564476042	0.708705686	1.329753057	1.333876445	-0.080310589	-0.147534932	-0.632125233
ribose or xylose	-0.027509587	0.026994829	0.30236485	0.006097826	-0.076786132	-0.226551915	0.014128223	0.577983419	-0.01952696	0.126220708	-0.046943619	0.157172952	-0.287304383	0.239481504	-0.232925817	-0.664173342	-0.366878086	-0.338797032	-0.104095868	-0.052619818	0.450215533	0.600462779	0.832643045	0.007524641	-0.007564093	-0.111403995	0.287455796	0.140848407	-0.247923878	0.129036492	0.926440327	1.364043294	1.021449785	1.002991231	0	0.128054797	0.047711693	-0.334451821	-0.20138819	-0.043489131	0.063929511	1.136320168	2.074776337	1.618231717	2.130900233	2.190261816	-0.076556122	0.07269759	0.258631057	0.379325065	0.229653412	0.125481543	0.497036099	1.141091602	1.446436685	1.67154719	1.364146727	1.363305598
serine 	0.00130524	-0.001306422	0.177087248	0.096153753	-0.17572851	-0.032959335	0.013430506	-0.766016212	0.329262317	0.869771565	0.045791484	0.306959347	-0.231775883	0.199642838	-0.216982746	-0.501757138	-0.623966132	-0.536391968	-0.617260304	-0.22881769	-0.065273394	-0.641282768	-0.568890349	-0.040821145	0.039697819	-0.569017511	0.115554361	0.355938005	0.270676408	1.256192684	1.919804847	1.114144448	1.570979777	1.509532076	0	0.182265423	-0.170318557	-0.35808428	0.151982714	0.395421505	0.789788324	1.390253294	1.856740716	2.492397289	1.29463281	1.227503177	-0.231408807	0.19937058	0.283946669	0.322008425	0.197161182	0.253703138	0.307919322	1.028974769	1.054812041	1.121899917	1.372539016	1.439085329
shikimic acid-3-phosphate	-0.19871279	0.174626752	0.362099327	-0.07793357	-0.070971833	-0.315580912	-0.045545524	-0.009184709	-1.662882634	-0.694495455	0.227214855	-0.567690029	-0.193158434	0.170324152	-2.367817537	-2.709605908	-3.043087206	-2.80669178	-2.516124904	-2.585510953	-2.772145701	-2.626640966	-2.567014766	0.032318878	-0.033059499	-2.177109705	-2.067000571	-2.580207958	-2.162800898	-1.228086992	-0.249200939	-1.219716905	-1.363162275	-1.028324203	0	1.104907496	0.515990836	-0.615216063	-0.631625409	0.15911616	0.375133946	1.903839746	1.95709691	0.977818866	0.990135642	1.112231346	-0.13259991	0.121431767	0.295863066	0.495232175	0.233831074	0.490999716	0.699285999	1.456525259	1.403003998	-0.535952359	-0.559972424	-0.45612628
spermidine 	0.16992696	-0.192647596	0.153732717	-0.113633459	0.092037691	0.049685885	-0.282618059	-0.273739197	-0.292152974	-0.232530524	-0.018666004	-0.279952514	-0.163466888	0.146815707	-0.448894117	0.027278233	-0.504981067	-0.25194603	-0.05717726	0.206890674	0.157521113	0.387635747	0.648024701	-0.161568039	0.145282493	-0.013419129	-0.048965471	-0.068330088	-0.17171017	0.553062396	-0.103104777	-0.525350661	-0.615545179	-1.450033657	0	0.230360694	0.146648147	-0.476179966	-0.44462134	0.041285362	0.157528335	0.752904992	0.505741328	-0.039686226	0.321171407	0.117162134	-0.022762386	0.022408819	0.128452804	0.114343602	0.226343754	0.175919077	0.062178668	0.45570383	-0.326244941	-1.266984181	-0.866179408	-1.222894034
stearic acid	-0.023126392	0.022761518	0.38884662	0.306095411	0.254152548	0.299152366	0.189766314	0.283876776	-0.004957632	0.169806503	0.476089072	0.23639209	0.028791809	-0.029378127	-0.093817513	-0.361300731	-0.094223021	-0.221312431	0.016551389	0.043024528	0.032723328	-0.143658717	0.261485296	0.108218416	-0.116999121	-0.122740396	-0.219848946	-0.186072079	-0.11664567	0.107804441	-0.492884342	0.554808735	0.186474924	0.168571542	0	0.105266115	0.198688484	0.105269948	0.188455808	-0.030093665	0.1365553	0.324698132	0.495915621	0.45562608	0.505433985	0.385571425	-0.041461503	0.040303156	0.021850164	0.121092922	0.03068505	-0.014175325	0.03836474	0.380657807	0.24583906	0.152589242	0.156212948	0.021351275
succinic acid	0.016897861	-0.017098129	0.149159242	0.413920574	0.35905637	0.431691626	0.547777037	0.439829356	0.546280609	0.854597523	0.929664978	0.902754501	-0.217375176	0.18887066	-0.674494757	-0.894856706	-0.95776634	-1.189187979	-1.215166335	-1.323742768	-1.104651865	-0.82734199	-0.657625887	-0.20249801	0.17754214	-0.278945468	-0.063807302	0.045077727	0.254945613	1.654650565	2.323663267	1.635639763	1.513417044	2.022977202	0	0.164500308	0.187843468	0.064597899	-0.038407784	0.170907309	0.210906326	1.58674596	2.831437056	2.408399761	-0.061382551	-0.497368147	-0.021700821	0.021379231	0.384867929	0.104377235	0.171178774	0.437837665	0.457469816	1.360417121	1.960962372	2.080986795	1.958531626	1.678440215
sucrose	0.059452737	-0.062008451	0.937367083	-0.566920072	0.256266202	0.085461765	0.896551526	-0.961584842	1.42183611	0.285286616	0.147807126	0.845536446	-0.315278542	0.258584282	1.026271379	-0.483661078	-0.733399597	-0.787821663	-0.918801464	-0.839559504	-1.431919274	-0.290976011	2.049306878	0.318096643	-0.408674271	-0.313064392	1.152927911	0.430988119	-0.313683244	0.259394253	0.733979828	0.205245869	-0.516653536	0.621778311	0	0.130452269	1.107056288	0.172466593	-0.421816913	-0.52287337	0.493137136	-0.157094521	0.223779889	-0.608402209	0.174961167	0.463382419	-0.13237404	0.121242337	0.214173398	0.08367161	-0.414955228	-0.999425959	-0.589693948	-0.580730112	-1.207288703	-0.902047508	-0.577638299	0.088335479
threonic acid	-0.052795294	0.050931268	0.898416059	0.775031673	0.753068465	0.944739479	1.12188498	1.282514714	1.493567294	1.400873358	1.756439011	1.760378929	-0.196149032	0.172644428	0.539935775	1.061270795	0.706952511	0.687151522	1.033938721	1.103956173	0.889169567	1.063271122	0.868119926	-0.228496104	0.197205953	-1.329347995	0.417110356	0.958057353	0.98895494	0.48272681	1.52068797	0.867745557	1.874884421	1.177356784	0	1.041097777	1.637836324	1.106226886	0.641668754	0.956608762	0.915843673	1.934770541	2.303254463	0.460756051	1.223631057	1.497769324	-0.134863144	0.200270446	0.168457406	0.442767281	0.448318325	0.485106249	0.626559985	1.441138588	0.246442449	-0.853428345	-0.688493771	-0.542025815
threonine	-0.099436053	0.093022231	0.394935832	0.3318959	0.377283224	0.462545537	0.784866978	0.812187131	0.82819895	0.628634542	0.909603568	0.936393808	-0.274438924	0.230483661	3.401367407	3.921383804	4.125352623	4.020432849	4.265036485	4.987319647	5.241324434	5.331493993	5.712900013	-0.108706916	0.101086693	-0.43952243	1.387285349	2.642561948	2.702809337	1.462482753	2.283084901	2.853452512	3.715859558	3.194905562	0	0.781904924	1.571507346	1.00281988	0.756290627	1.099625257	1.040589453	2.547500021	3.511753098	4.693709169	2.568395624	2.497184585	-0.250483274	0.21336	0.420239984	0.648004715	0.679596908	0.767451555	0.974314673	1.749004223	2.828214786	2.908547151	3.063864869	2.943338117
thymine	0.205286181	-0.239421391	-0.491273387	-0.582843261	-0.65905906	-0.660631775	-0.727991727	-0.853313104	-0.435583857	-0.594831222	-0.136131501	-0.192081625	-0.144644756	0.131455025	-0.01413036	-0.043988719	0.251424843	-0.418166805	-0.16720434	0.535724597	0.311844222	0.501568648	0.871231844	0.068188262	-0.071571725	-0.233008979	-0.089406531	0.338456565	-0.073822292	0.295054627	1.032817091	1.43156277	1.084129222	0.774168643	0	-0.402242545	-0.269294152	-0.656382271	-0.345039441	-0.312129279	0.148141355	0.252129584	0.632376617	1.425675099	1.633842193	1.54546238	-0.011872718	0.011775808	0.714295602	0.397934917	0.398856103	-0.017262527	0.0425351	0.725945512	1.49150527	1.373807969	1.53815282	1.222801899
trehalose	0.10645882	-0.114944952	0.043176697	-0.263945249	-0.220149681	-0.309576403	-0.158677328	-0.274361872	-0.16821614	-0.28661204	-0.13611006	-0.114597512	-0.018548498	0.018313047	0.001049831	0.59289287	0.51362862	0.861414147	1.400872365	2.976558533	5.083578965	6.652091297	6.731772975	-0.021034486	0.020732205	-0.265304059	-0.402380474	0.195656656	0.902111964	2.24921793	3.015949376	3.463741982	4.047448827	5.755117162	0	-0.032248003	0.081543937	0.687615703	1.165760135	2.024047756	1.890674696	0.396295459	-0.697730322	3.594587398	4.512576912	5.464374234	0.040301271	-0.041459508	-0.125264197	-0.172350001	-0.270304513	-0.584645979	-0.297173639	0.126340195	0.508536985	7.695013815	8.168644379	8.521333282
triethanolamine	-0.564398161	0.404644352	0.191411599	-1.401599309	-1.666860753	-0.414204574	0.157127247	-1.230246958	0.091813212	-1.814730041	-1.893626287	0.824753796	-0.024177445	0.023778936	0.038044911	0.476380851	-0.154526667	0.400405654	1.071209322	-1.110277054	0.181319847	1.157092216	0.603393139	0.051488373	-0.053394168	0.25318138	1.436082296	0.961023301	0.128238121	-0.015789061	-0.200874748	0.634268663	-0.054192034	1.53922916	0	0.310966523	1.032082425	-0.513123463	0.354066807	0.381234122	0.039648017	-0.451854226	0.18344796	-0.090696268	-0.321731321	-0.191859539	-1.243586611	0.657803299	0.240397272	0.181481602	-0.870778048	-1.865507057	-1.717989624	-1.877396877	-0.644205684	0.147114837	-1.639439555	-0.366283497
trimethyl lysine	0.129736566	-0.142566581	-0.097738146	-0.373623993	0.144209807	-0.097785627	0.352224743	1.004809448	0.473688251	1.096082551	1.988970026	1.953026487	-0.267630034	0.225666073	-0.266871211	0.272435625	-0.063919908	0.234170598	0.375575205	1.194327535	0.479781769	0.561907927	1.488934388	-0.502713937	0.372085271	-0.816458356	0.453119142	0.615152811	1.428731736	1.554621102	2.996474361	1.925015232	3.195695899	3.483700204	0	-0.977473395	-1.03564319	-1.418527017	-1.547886385	-0.565182075	-0.50795937	1.90428342	2.961840424	1.920442445	-0.022167569	0.170848291	-0.330006289	0.268394848	1.022573816	0.750081026	0.932915304	1.209976546	1.103262924	3.060627185	1.611089857	1.044529475	1.02263186	1.129542604
tyrosine	-0.272438906	0.229072585	-1.030386136	-1.453463953	-2.268163202	-0.922458819	-0.069005548	-0.509360361	-0.752752087	-0.635579174	-1.618724217	0.157427695	-0.030212252	0.029592517	0.17821629	0.10947166	-0.43611746	-0.193732741	-0.18064971	-0.593600098	-0.60116086	-0.621469697	-0.555476642	0	0	0.074497536	0.844707133	0.645452718	0.045037756	-0.109373318	-0.19917767	0.990205483	0.549403276	0.348707954	0	-1.002743826	-0.097426799	-0.635834372	-0.709354316	-0.371780988	-0.859499229	0.564883072	1.12235029	2.109043434	2.435033312	3.060712246	-0.071975653	0.034684564	-0.038882358	-0.167172934	-0.569807454	-1.383751749	-1.130369332	-0.986308142	-2.252572065	-1.228188658	-1.258387533	-1.281359106
urea	0.120132876	-0.131052464	-0.001835642	-0.10660239	-0.17869408	-0.12652302	0.217252567	-0.05834025	0.095747965	0.224523549	0.605754474	0.782666388	-0.261333656	0.221176372	-0.167401891	-0.120378306	-0.38499031	-0.58106562	-0.438602189	-0.258114699	-0.014593638	-0.199356529	0.017697223	0.224552254	-0.266063614	-0.008773062	-0.222143432	-0.187601009	-0.156765374	-0.106636029	-0.045589436	0.441839605	0.364235137	0.435053036	0	-0.018872256	0.205917512	-0.11626085	0.188268058	-0.058803481	0.064897855	0.007095267	0.350562209	0.343111549	0.291094474	0.383472334	-0.040935057	0.03980554	0.164161352	0.171105711	0.287511631	0.233931562	0.257471945	0.592692308	0.8308649	0.759680071	0.690690381	0.989701087
ureidopropionic acid	0.233947535	-0.279368643	0.076490798	-0.303098408	-0.086360109	-0.567255852	-0.161290157	-0.420210124	-0.303789541	0.081109724	0.301422945	0.753955168	-0.53943975	0.391725882	-0.248317455	-0.625877274	-1.378380988	-1.140263133	-1.136995107	-1.194273558	-0.816990012	-1.485668061	-0.719200358	0.036220263	-0.037153077	0.083292915	0.160822053	-0.628086667	0.256004063	-0.104322986	-0.021745491	1.600874025	0.590443095	0.965759673	0	-1.177500793	-0.201519111	-0.593969009	-0.951156595	-0.904931302	-0.080789572	0.143863588	-0.074389253	-0.607058729	-0.040811415	-0.082314435	-0.153549468	0.138767508	0.348637355	0.939464909	0.355750414	0.29168555	0.097659179	0.559637445	1.287711824	0.376634458	0.008242069	0.779899208
valine	0.106621143	-0.115134222	0.160976241	-0.366820213	-0.322326902	-0.350500594	-0.275241306	-0.576834164	-0.628384519	-0.55212827	-0.699495117	-0.928559127	-0.124843832	0.114895612	0.239034553	0.343615446	0.487631235	0.468082881	0.689894586	0.069898819	-0.374392069	0.130304417	0.153294866	-0.040150606	0.039063393	-2.201009567	0.501202188	0.352781191	-0.148783979	1.12700573	2.034950829	0.474339671	-0.362647376	0.349487636	0	0.533116765	-0.682820166	-0.852701841	-0.524115606	0.510677901	0.739965399	1.76492624	2.222352279	2.368257535	2.823465697	3.174170289	-0.230804675	0.198922234	0.375659208	0.4732549	0.59078891	0.582517035	0.662881655	1.438002503	1.750284751	1.17558005	1.383025324	1.165188993
